Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00,61,0.08102230725000001,0.1842385754,0.0680022128,0.0,0.0,0.05752937495,0.0,0.08102230725000001,0.1842385754,0.0680022128,0.0,0.0,0.05752937495,0.0,0.0053304383,0.0052170409,0.0052170409,0.024951458,0.0290796384,0.0072009903,0.0613991134,0.0042068963,0.0042068963,0.0554755349,0.0554755349,0.0,0.0,0.02617969085,0.02617969085,0.0366734173,0.0366734173,0.0271027535,0.0181034729,0.0668685511,0.0438393913,0.0286847213,0.0286847213,0.0336538013,0.0336538013,0.008437125949999999,0.008437125949999999,0.17380002885,0.17380002885,0.0243052877,0.0,0.0,0.0118811419,0.02806921765,0.02806921765,0.039226096099999996,0.039226096099999996,2.3361e-06,-0.0485457741,0.141012311,-0.0303399079,-0.0135341855,0.1126655564,-0.0015312732,0.0690205693,0.1127041727,0.0078056515
00:00:00:01,61,0.07777351269406779,0.18232331095508475,0.06801602828559322,0.0,0.0,0.056890660963559325,0.0,0.07777351269406779,0.18232331095508475,0.06801602828559322,0.0,0.0,0.056890660963559325,0.0,0.005271579955932203,0.00521563905,0.00521563905,0.02470156993220339,0.028765331738983053,0.00711625713559322,0.0612030392661017,0.004160284922881356,0.004160284922881356,0.05496081630338984,0.05496081630338984,0.0,0.0,0.025826716254237287,0.025826716254237287,0.03633067862372881,0.03633067862372881,0.02672461862881356,0.01798983216101695,0.06639314609152543,0.043572225659322034,0.028313424544915256,0.028313424544915256,0.03324966322118644,0.03324966322118644,0.008362272955084746,0.008362272955084746,0.17509648836694913,0.17509648836694913,0.023985818050847457,0.0,0.0,0.011860129215254237,0.0277026709,0.0277026709,0.0387872562161017,0.0387872562161017,1.967505084745763e-06,-0.047975978113559324,0.1428921043338983,-0.02995638862881356,-0.01301584936779661,0.11149582572372882,-0.0014572358016949152,0.06956655243220339,0.11153452200338984,0.007784945293220339
00:00:00:02,61,0.07627321179661017,0.18174511573898305,0.06801235605338983,0.0,0.0,0.05623959396101695,0.0,0.07627321179661017,0.18174511573898305,0.06801235605338983,0.0,0.0,0.05623959396101695,0.0,0.005211368930508474,0.005216257140677966,0.005216257140677966,0.024463013701694913,0.028452000749152544,0.007026589611864407,0.06097176111016949,0.004154647161016949,0.004154647161016949,0.054528989831355935,0.054528989831355935,0.0,0.0,0.02553703311779661,0.02553703311779661,0.03598462650762712,0.03598462650762712,0.02636680299322034,0.017891242240677965,0.0659322171898305,0.043306044133898304,0.027955375805084746,0.027955375805084746,0.03285223555,0.03285223555,0.008285388912711866,0.008285388912711866,0.17546168535847456,0.17546168535847456,0.02370126483559322,0.0,0.0,0.011830944262711866,0.027330350111864406,0.027330350111864406,0.0383544728338983,0.0383544728338983,1.8196050847457627e-06,-0.04758050244406779,0.14392090678305086,-0.02986122568305085,-0.01247776743559322,0.1111438958779661,-0.001392541947457627,0.07010344399322034,0.11118258128474576,0.007819976823728814
00:00:00:03,61,0.07520181338898305,0.18116114578474576,0.06800966880508474,0.0,0.0,0.05561306714152542,0.0,0.07520181338898305,0.18116114578474576,0.06800966880508474,0.0,0.0,0.05561306714152542,0.0,0.005156069505084746,0.005221624005084745,0.005221624005084745,0.02424557476101695,0.028170502962711865,0.006947320113559322,0.06077063895423729,0.004148966481355932,0.004148966481355932,0.054249590425423724,0.054249590425423724,0.0,0.0,0.025286368324576272,0.025286368324576272,0.035662489773728816,0.035662489773728816,0.02604936004576271,0.017805513279661015,0.06552082389152543,0.04306926752033898,0.027635858577118644,0.027635858577118644,0.03251220025084746,0.03251220025084746,0.008221610627118642,0.008221610627118642,0.1757359793855932,0.1757359793855932,0.02344307195423729,0.0,0.0,0.011803415950847457,0.026989671213559323,0.026989671213559323,0.0379707068559322,0.0379707068559322,1.6774457627118643e-06,-0.04662056491694915,0.14487074921694915,-0.030366523501694914,-0.012082232186440677,0.11078798711694915,-0.001344090733898305,0.07049900482203389,0.11082667490677965,0.007838605711864406
00:00:00:04,61,0.07440469230508476,0.18010470851271188,0.06800479410423729,0.0,0.0,0.055113571272881356,0.0,0.07440469230508476,0.18010470851271188,0.06800479410423729,0.0,0.0,0.055113571272881356,0.0,0.005112802438983051,0.005235156586440678,0.005235156586440678,0.02407164731016949,0.027945517594915256,0.006886889166101695,0.06062565702033898,0.004130414161864407,0.004130414161864407,0.05404930108474576,0.05404930108474576,0.0,0.0,0.025069447216101694,0.025069447216101694,0.03538767056016949,0.03538767056016949,0.02579070931355932,0.0177410281,0.0651893546338983,0.042881198874576275,0.027369963819491527,0.027369963819491527,0.032249273678813556,0.032249273678813556,0.008173676193220339,0.008173676193220339,0.17620912283135592,0.17620912283135592,0.023208853498305083,0.0,0.0,0.011787667230508475,0.026700384691525424,0.026700384691525424,0.03764649568050847,0.03764649568050847,1.558913559322034e-06,-0.04565997742033898,0.1443495088677966,-0.03059952159322034,-0.011451604911864406,0.11014387254067796,-0.0012665302728813558,0.07112963286949152,0.11018255187288135,0.007862210633898305
00:00:00:05,61,0.07390427638644068,0.1791282999779661,0.06800075652627119,0.0,0.0,0.05480198571355932,0.0,0.07390427638644068,0.1791282999779661,0.06800075652627119,0.0,0.0,0.05480198571355932,0.0,0.005085035601694915,0.005251600854237288,0.005251600854237288,0.02396368641016949,0.027794262311864406,0.0068481621508474574,0.060553277569491526,0.004112294528813559,0.004112294528813559,0.05394762497288136,0.05394762497288136,0.0,0.0,0.024905545183898307,0.024905545183898307,0.0351721196220339,0.0351721196220339,0.02559792015762712,0.017706718530508474,0.06495690613898306,0.042745450288135596,0.02716131235,0.02716131235,0.03206305067033898,0.03206305067033898,0.00814013733983051,0.00814013733983051,0.17676803444661016,0.17676803444661016,0.023004141237288136,0.0,0.0,0.011781364459322034,0.026470965127118645,0.026470965127118645,0.037376977776271185,0.037376977776271185,1.5491949152542374e-06,-0.04453519176271186,0.14299275660338984,-0.03041754521016949,-0.010906929840677966,0.10954843868474576,-0.0011996498118644068,0.07167484942542372,0.10958710448305085,0.007879286861016948
00:00:00:06,61,0.0737389341262712,0.17811021863644066,0.0679976500720339,0.0,0.0,0.054684582778813565,0.0,0.0737389341262712,0.17811021863644066,0.0679976500720339,0.0,0.0,0.054684582778813565,0.0,0.005080939959322034,0.005282269250847457,0.005282269250847457,0.023951959108474575,0.027748639001694914,0.0068388331220338985,0.06053957688813559,0.004096981057627119,0.004096981057627119,0.053883463878813556,0.053883463878813556,0.0,0.0,0.024819213241525424,0.024819213241525424,0.03505654233135593,0.03505654233135593,0.025500836005084744,0.017729071537288137,0.06479333282372882,0.04262999216610169,0.02701159214322034,0.02701159214322034,0.03200362358474576,0.03200362358474576,0.00812200800677966,0.00812200800677966,0.17776703786525425,0.17776703786525425,0.02284623377118644,0.0,0.0,0.011795299627118644,0.02631219815338983,0.02631219815338983,0.037170500158474576,0.037170500158474576,1.371557627118644e-06,-0.04381534482372881,0.1412813655576271,-0.030167133498305083,-0.0106682224,0.10892648954745762,-0.0011666611186440677,0.0719154120762712,0.10896519309661017,0.007860484262711865
00:00:00:07,61,0.07375936772542374,0.17708857381610169,0.06799975291525424,0.0,0.0,0.05473769490593221,0.0,0.07375936772542374,0.17708857381610169,0.06799975291525424,0.0,0.0,0.05473769490593221,0.0,0.005096439788135594,0.0053281389084745764,0.0053281389084745764,0.024047074755932204,0.02784074545762712,0.006863915727118644,0.06061993651016949,0.004081271616949152,0.004081271616949152,0.05387361435762712,0.05387361435762712,0.0,0.0,0.02477083973220339,0.02477083973220339,0.03503905363389831,0.03503905363389831,0.025483681983050847,0.017798316827118642,0.06462340591355932,0.042484893623728814,0.026891440983050845,0.026891440983050845,0.03208859011694915,0.03208859011694915,0.008119999247457627,0.008119999247457627,0.17997746110084745,0.17997746110084745,0.022740558494915256,0.0,0.0,0.01182144943559322,0.02622993948135593,0.02622993948135593,0.037030406894915255,0.037030406894915255,1.35245593220339e-06,-0.0434945736220339,0.13908759743559324,-0.029826928181355933,-0.01050808039322034,0.10830213243220338,-0.0011425000220338984,0.07208373977627118,0.1083408739220339,0.00783336213898305
00:00:00:08,61,0.07360529538050847,0.1749706289322034,0.06800264426440678,0.0,0.0,0.054842828962711865,0.0,0.07360529538050847,0.1749706289322034,0.06800264426440678,0.0,0.0,0.054842828962711865,0.0,0.0051182781661016944,0.005393085556779661,0.005393085556779661,0.024157330694915255,0.027960540862711866,0.0069007453237288135,0.06070140255254237,0.004063975850847458,0.004063975850847458,0.0539209971338983,0.0539209971338983,0.0,0.0,0.024740040539830508,0.024740040539830508,0.03506641375423729,0.03506641375423729,0.025493152983050847,0.017876178850847458,0.06444004606271186,0.042333669205084745,0.02678155760338983,0.02678155760338983,0.032224697626271184,0.032224697626271184,0.008123775393220338,0.008123775393220338,0.1811124581457627,0.1811124581457627,0.022647175466101694,0.0,0.0,0.0118531273,0.026169816046610173,0.026169816046610173,0.03690119951864407,0.03690119951864407,1.380049152542373e-06,-0.04302738067966102,0.13785413284237288,-0.02988866820338983,-0.010099239555932202,0.1070080291898305,-0.0010848379694915254,0.07250760423728812,0.1070467511440678,0.007784491501694915
00:00:00:09,61,0.07327675528305083,0.1729329580559322,0.06800659322457626,0.0,0.0,0.05505529866271187,0.0,0.07327675528305083,0.1729329580559322,0.06800659322457626,0.0,0.0,0.05505529866271187,0.0,0.005145319825423729,0.005455714994067796,0.005455714994067796,0.02427956323559322,0.028088230105084745,0.006938512494915254,0.060784670323728814,0.004049648358474577,0.004049648358474577,0.0540391544220339,0.0540391544220339,0.0,0.0,0.024752224084745762,0.024752224084745762,0.03511647541016949,0.03511647541016949,0.025525025749152542,0.01796666259661017,0.06428475433898305,0.04219877788305085,0.02669289811440678,0.02669289811440678,0.032384179934745766,0.032384179934745766,0.008127387039830508,0.008127387039830508,0.18222500106949152,0.18222500106949152,0.022570651176271186,0.0,0.0,0.011886707237288137,0.02613691521101695,0.02613691521101695,0.036781159998305085,0.036781159998305085,1.3658559322033901e-06,-0.04291341867457627,0.13721609718474576,-0.03006285238644068,-0.009972175203389829,0.10576207786779661,-0.0010586119288135594,0.07265044789322034,0.10580081502033897,0.0077083469186440675
